,Area,WC,PN,Price,Floor,HouseType,Location
6161,48.333333333333336,3.6666666666666665,3.6666666666666665,6.8,4.0,5.5437090053763445,6.42252427184466
6162,48.0,6.0,5.0,7.3,4.0,5.5437090053763445,7.197767857142857
6163,45.0,5.0,5.0,5.7,4.0,5.5437090053763445,7.340891402714932
6165,73.0,4.0,5.0,13.0,3.0,5.5437090053763445,6.42252427184466
6166,129.0,3.6666666666666665,4.0,6.9,3.0,5.5437090053763445,4.2203448275862065
6167,75.0,4.0,5.0,10.8,5.0,5.5437090053763445,5.624838426204724
6168,58.0,2.0,2.0,3.8,2.0,5.5437090053763445,4.2203448275862065
6170,64.0,4.0,4.0,14.1,1.0,5.5437090053763445,6.114109589041096
6173,101.0,2.0,4.0,8.2,2.0,5.5437090053763445,6.114109589041096
6174,68.0,3.0,3.0,4.9,4.0,5.5437090053763445,4.2203448275862065
6177,28.0,2.0,1.0,1.35,1.0,5.5437090053763445,4.2203448275862065
6179,100.0,6.0,5.0,11.5,4.0,5.5437090053763445,5.831480472297911
6182,88.0,6.0,5.0,8.2,3.0,5.5437090053763445,6.305351941747572
6185,55.0,3.0,3.0,6.5,3.0,5.5437090053763445,5.624838426204724
6188,49.0,2.0,2.0,3.5,2.0,7.485200839463087,4.4555384615384614
6189,100.0,3.0,3.0,3.0,3.0,5.5437090053763445,4.2203448275862065
6190,45.0,2.0,3.0,4.0,2.0,5.5437090053763445,6.42252427184466
6191,47.0,2.0,3.0,4.0,2.0,5.5437090053763445,6.42252427184466
6193,62.0,2.0,2.0,3.8,5.0,5.5437090053763445,5.173272727272726
6194,62.0,2.0,2.0,3.85,5.0,5.5437090053763445,5.173272727272726
6198,42.0,2.0,4.0,6.5,3.0,5.5437090053763445,6.114109589041096
6201,65.0,2.3333333333333335,1.0,4.8,2.0,5.5437090053763445,5.2687857142857135
6202,64.0,4.0,4.0,5.7,3.0,5.5437090053763445,5.2687857142857135
6203,68.0,3.3333333333333335,3.3333333333333335,5.55,2.0,5.5437090053763445,5.2687857142857135
6204,72.0,3.3333333333333335,3.3333333333333335,6.2,2.0,5.5437090053763445,5.2687857142857135
6205,52.0,1.0,1.0,3.5,1.0,5.5437090053763445,4.2203448275862065
6206,56.0,3.0,3.0,5.5,3.0,5.5437090053763445,5.2687857142857135
6207,71.0,1.0,2.0,3.45,3.0,7.485200839463087,4.4488392857142856
6208,42.0,1.0,2.0,2.05,2.0,5.5437090053763445,6.305351941747572
6209,66.0,4.0,4.0,7.6,3.0,5.5437090053763445,5.2687857142857135
6210,68.0,4.0,4.0,7.7,3.0,5.5437090053763445,5.2687857142857135
6211,88.0,4.666666666666667,2.0,11.0,3.0,7.485200839463087,5.2687857142857135
6212,68.0,2.0,3.0,8.5,3.0,5.5437090053763445,5.2687857142857135
6213,57.0,4.0,4.0,7.2,3.0,5.5437090053763445,5.2687857142857135
6215,32.0,3.0,4.0,3.3,3.0,5.5437090053763445,6.913571428571428
6216,92.0,1.0,2.0,9.2,3.0,5.5437090053763445,5.2687857142857135
6218,76.0,5.0,5.0,11.6,3.0,5.5437090053763445,6.308395494367961
6219,60.0,3.0,4.0,6.7,4.0,5.5437090053763445,5.4311051212938
6221,83.0,2.0,3.0,6.0,2.0,5.5437090053763445,6.42252427184466
6223,54.0,3.0,3.0,9.5,4.0,7.485200839463087,4.4488392857142856
6224,55.0,3.3333333333333335,5.0,10.0,4.0,5.5437090053763445,6.114109589041096
6225,112.0,3.0,3.0,5.3,2.0,5.5437090053763445,5.4311051212938
6226,75.0,1.0,2.0,5.5,1.0,5.5437090053763445,5.831480472297911
6227,40.0,1.0,2.0,2.35,2.0,7.485200839463087,5.2687857142857135
6228,61.0,4.0,4.0,6.5,2.0,5.5437090053763445,5.831480472297911
